,arxiv_id,latex,fixed
0,1411.5342,"\begin{theorem} $\mathrm{(Liouville)}$
\label{thm:Liouville}
{\it Let $a$, $b$, and $c$ be positive integers with $a\le b \le c.$ Then every $n\in\mathbb{N}_0$ can be written as $a t_{x}+b t_{y}+c t_{z}$ for $x,y,z\in\mathbb{N}_0$ if and only if $(a,b,c)$ is among the following vectors:
$$
(1,1,1), (1,1,2), (1,1,4), (1,1,5), (1,2,2), (1,2,3), (1,2,4).
$$
}
\end{theorem}","theorem Liouville
  (a b c : ℕ)
  (hab : a ≤ b)
  (hbc : b ≤ c) :
  ∀ (n : ℕ₀), 
  (∃ (x y z : ℕ), n = a * t x + b * t y + c * t z)
  ↔ ((a, b, c) = (1, 1, 1) ∨ (a, b, c) = (1, 1, 2) ∨ (a, b, c) = (1, 1, 4) ∨ (a, b, c) = (1, 1, 5) ∨ (a, b, c) = (1, 2, 2) ∨ (a, b, c) = (1, 2, 3) ∨ (a, b, c) = (1, 2, 4))
  := sorry"
2,1411.5342,"\begin{theorem}
\label{thm:a-c}
{\it
For fixed positive integers $a$ and $c$, set
$$
g^{a}_c(x,y,z)=at_x+c(y^2+yz+z^2), \,\,\textrm{with} \,\,x\in\mathbb{N}_0, \,\,y,z\in\mathbb{Z}.
$$
\begin{enumerate}\itemsep=0pt
\item[$(1)$]
The form $g^{a}_c$ represents all $n\in\mathbb{N}_0$ if and only if $(a,c)=(1,1).$
\item[$(2)$]
If the form $g^{a}_c$ represents $n=1,2,4,8$, it represents all $n\in\mathbb{N}_0$.
\end{enumerate}
}
\end{theorem}","theorem a_c
  (a c : ℕ)
  (g_a_c := λ (x : ℕ₀) (y z : ℤ), a * t x + c * (y^2 + y*z + z^2) ) :
  (∀ (n : ℕ), represents g_a_c n ↔ ((a, c) = (1, 1)))
  ∧ (∀ (n : ℕ₀), (represents g_a_c 1 ∧ represents g_a_c 2 represents g_a_c 4 ∧ represents g_a_c 8) → represents g_a_c n)
  := sorry"
4,1411.5342,"\begin{theorem}
\label{thm:relation}
{\it Let $n\in\mathbb{N}_0.$ Then,
$$
r_{1,1,3}(8n+5)=16 t_{1,1,3}(n).
$$
}
\end{theorem}","theorem relation
  (n : ℕ) :
  r_1_1_3 (8 * n + 5) = 16 * t_1_1_3 n
  := sorry"
20,1411.5342,"\begin{lemma}
\label{lem-1,24,72}
{\it A nonnegative integer $n\in\mathbb{N}_0$ can be written as $x^2+24y^2+72z^2$ for $x,y,z\in\mathbb{Z}$ if and only if $n\neq 3l+2, 4l+2, 4l+3, 9l+3, 4^k(8l+5)$, where $k,l\in\mathbb{N}_0.$
}
\end{lemma}","
lemma lemma_one_twenty_four_seventy_two
  (n : ℕ) (hn : n ≥ 0):
  ∃ (x y z : ℤ), n = x^2 + 24*y^2 + 72*z^2
  ↔ ¬ (∀ (k l : ℕ), n = 3*l + 2 ∨ n = 4*l + 2 ∨ n = 4*l + 3 ∨ n = 9*l + 3 ∨ ∃ (k : ℕ), n = 4^k * (8*l + 5))
  := sorry"
0,1103.1698,"\begin{theorem}\label{K-S-theorem}[Khintchine-Sullivan theorem]
For all $x \in V$, and almost every $v \in T_x V$,
$$ \limsup_{t \to \infty} \frac{\dist v(t)}{\log t}  = 1/d.$$
\end{theorem}","theorem khintchine_sullivan_theorem
  (x : V) :
  ∀! (v : T x V), limsup (λ t, (dist (v t)) / (log t)) at_top = 1/d
  := sorry"
1,1103.1698,"\begin{theorem}\label{KG}[Khintchine's theorem]
$\mathcal{W}_{1 \times 1}(\psi, \R)$ has zero or full measure according as
\begin{equation}\label{grosum}
\sum_{x = 1}^{\infty} \psi(x)
\end{equation}
\noindent converges or diverges.
\end{theorem}","theorem khintchine_theorem :
  (summable (λ x : ℕ, ψ x) →  zero_measure (W_1_1_ψ_ℝ))
  ∧ (¬ summable (λ x : ℕ, ψ x) → full_measure (W_1_1_ψ_ℝ))
  := sorry"
2,1103.1698,"\begin{theorem}\label{theorem-volumes}
The functions $\Delta$ and $d(x_0, \cdot)$ are $\DL$.
\end{theorem}","theorem theorem_volumes :
  is_DL delta ∧ is_DL (λ x, d x_0 x) := sorry"
3,1103.1698,"\begin{theorem}\label{km1.8}
Let  $\scF = \{f_n~|~n \in \N\}$ be a sequence of elements of $G$ satisfying
\begin{equation}\label{ED}
\sup_{m \in \N} \sum_{n = 1}^{\infty} \|f_n \fmi\|^{-\beta} < \infty~\forall~\beta > 0,
\end{equation}
\noindent and let $\Delta$ be a $\DL$ function on $\Upsilon$. Then
\begin{equation}\mathcal{B}(\Delta) := \left\{ \{ x \in \Upsilon~|~\Delta(x) \geq s^n\}~|~n \in \mathbb{Z} \right\}\end{equation}
\noindent is Borel-Cantelli for $\scF$.
\end{theorem}","theorem km1_8
  (f : ℕ → G)
  (hf : ∀ (β : ℝ) (hβ : β > 0), (sup m, (∑' (n : ℕ) (hn : n ≥ 1), (norm (f n) * (has_inv.inv (f m))) ^ (-β))) < ∞)
  (Δ : Υ → ℝ) (hΔ : is_UDL Δ) :
  is_borel_cantelli {({x : Υ | (Δ x ≥ s^n')}) | n : ℤ} f
  := sorry"
11,1103.1698,"\begin{lemma}\label{BClemma2}
Let $\scH$ be a sequence of functions on $(G/\Gamma, \mu)$.  Then
$$\liminf_{N \to \infty}\frac{S_{\scH, N}(x)}{E_{\scH, N}} < \infty~\text{for}~\mu~\text{almost every}~x \in G/\Gamma.$$
\noindent In particular, $\scH$ is summable whenever $S_{\scH, \infty}$ is finite almost everywhere.
\end{lemma}","lemma bc_lemma_two
  {G : Type*} [group G]
  {Γ : lattice G}
  (μ : haar_measure G/Γ)
  (H : ℕ → (G/Γ → ℝ))
  (S_H : λ (N : ℕ), (λ x, (∑ n in finset.range N, (H n) x)))
  (E_H : λ (N : ℕ), (∑ n in finset.range N, (integral μ (H n)))) :
  ∀ (x : G),
  ∃ (nX : set G) (measure nX = 0),
  (x ∉ nX) → (liminf (λ N, (S_H N x) / (E_H N)) < ∞)
  ∧ (finite_almost_everywhere (S_H ∞) → summable H) := sorry"
26,1103.1698,"\begin{theorem}\label{H-measure}
Let $f$ be a dimension function such that $x^{-n}f(x)$ is a decreasing function which tends to $\infty$ as $x$ tends to $0$. Assume that
\begin{equation}\label{H-sum-div}
\sum_{r = 1}^{\infty} f(\psi(r))\psi(r)^{-(n-1)} = \infty.
\end{equation}
\noindent Then
$$\cH^{f}(\{\Lambda \in \SL_{n}(k)/\SL_{n}(Z)~:~\Lambda~\text{is}~(\psi, n)~\text{approximable}\}) = \infty.$$
\end{theorem}","theorem h_measure
  {k : Type*}
  [field k]
  (f : ℝ → ℝ)
  [dimension_function f]
  (hf : ∀ n : ℕ, is_decreasing (λ x, x^(-n) * (f x)))
  (hf' : ∀ (n : ℕ), limit 0 (λ x, x^(-n) * (f x)) = ∞)
  (ψ : ℝ → ℝ)
  (n : ℕ) (hn : n > 1) :
  is_infinity (∑ (r : ℕ), ((f (ψ r)) * (ψ r)^(-(n-1))))
  → Hf {(Λ : (sl_n k) / (sl_n Z)) | is_approximable Λ ψ n} = ∞
  := sorry"
